2023-04-15 19:47:03,899 - cli.py - This is Paynt version 0.1.0.
2023-04-15 19:47:03,899 - sketch.py - loading sketch from ./models/pomdp/no-goal-state/blind-nanny/sketch.templ ...
2023-04-15 19:47:03,901 - prism_parser.py - PRISM model type: PrismModelType.POMDP
2023-04-15 19:47:03,901 - prism_parser.py - loading properties from ./models/pomdp/no-goal-state/blind-nanny/sketch.props ...
2023-04-15 19:47:03,902 - prism_parser.py - found the following specification: constraints: LRA>3/5 ["goal1"],LRA>3/5 ["goal2"], optimality objective: none
2023-04-15 19:47:03,917 - sketch.py - constructed explicit quotient having 27 states and 90 actions
2023-04-15 19:47:03,917 - sketch.py - found the following specification constraints: LRA>3/5 ["goal1"],LRA>3/5 ["goal2"], optimality objective: none
2023-04-15 19:47:03,918 - quotient_pomdp.py - Constructed POMDP having 15 observations.
2023-04-15 19:47:03,918 - quotient_pomdp.py - Unfolding POMDP using the following memory allocation vector: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ...
2023-04-15 19:47:03,918 - quotient_pomdp.py - Constructed quotient MDP having 27 states and 90 actions.
2023-04-15 19:47:03,919 - synthesizer.py - Synthesis initiated.
> Progress 3.322%, elapsed 3.1 s, iters = (958, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1004, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1005, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1006, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1007, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1008, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1009, 0), opt = -
> Progress 3.3281%, elapsed 108.1 s, iters = (1218, 0), opt = -
> Progress 3.3282%, elapsed 122.1 s, iters = (1233, 0), opt = -
> Progress 3.3282%, elapsed 134.9 s, iters = (1234, 0), opt = -
> Progress 3.3282%, elapsed 134.9 s, iters = (1235, 0), opt = -
> Progress 3.3282%, elapsed 134.9 s, iters = (1236, 0), opt = -
> Progress 3.3282%, elapsed 134.9 s, iters = (1237, 0), opt = -
> Progress 3.3282%, elapsed 134.9 s, iters = (1238, 0), opt = -
> Progress 3.3282%, elapsed 160.1 s, iters = (1239, 0), opt = -
> Progress 3.3283%, elapsed 160.1 s, iters = (1240, 0), opt = -
> Progress 3.3283%, elapsed 160.1 s, iters = (1241, 0), opt = -
> Progress 3.3283%, elapsed 160.1 s, iters = (1242, 0), opt = -
> Progress 3.3283%, elapsed 160.1 s, iters = (1243, 0), opt = -
> Progress 3.3287%, elapsed 160.1 s, iters = (1244, 0), opt = -
> Progress 3.3287%, elapsed 160.1 s, iters = (1245, 0), opt = -
> Progress 3.3287%, elapsed 160.1 s, iters = (1246, 0), opt = -
> Progress 3.3287%, elapsed 160.1 s, iters = (1247, 0), opt = -
> Progress 3.3287%, elapsed 160.1 s, iters = (1248, 0), opt = -
> Progress 3.3287%, elapsed 160.1 s, iters = (1249, 0), opt = -
> Progress 3.4181%, elapsed 162.0 s, iters = (1374, 0), opt = -
> Progress 3.4204%, elapsed 165.1 s, iters = (1415, 0), opt = -
> Progress 3.4242%, elapsed 168.0 s, iters = (1464, 0), opt = -
> Progress 3.4272%, elapsed 171.0 s, iters = (1535, 0), opt = -
> Progress 3.5171%, elapsed 174.2 s, iters = (2001, 0), opt = -
> Progress 3.5174%, elapsed 177.2 s, iters = (2035, 0), opt = -
> Progress 3.5235%, elapsed 180.1 s, iters = (2292, 0), opt = -
> Progress 3.6155%, elapsed 183.1 s, iters = (2415, 0), opt = -
> Progress 3.6193%, elapsed 186.0 s, iters = (2503, 0), opt = -
> Progress 3.6645%, elapsed 189.0 s, iters = (2667, 0), opt = -
> Progress 3.7125%, elapsed 192.1 s, iters = (3000, 0), opt = -
> Progress 3.7125%, elapsed 242.2 s, iters = (3001, 0), opt = -
> Progress 3.7125%, elapsed 242.2 s, iters = (3002, 0), opt = -
> Progress 3.7125%, elapsed 292.2 s, iters = (3003, 0), opt = -
> Progress 3.7125%, elapsed 292.2 s, iters = (3004, 0), opt = -
> Progress 3.7126%, elapsed 292.2 s, iters = (3005, 0), opt = -
> Progress 3.7126%, elapsed 292.5 s, iters = (3006, 0), opt = -
> Progress 3.7126%, elapsed 318.1 s, iters = (3007, 0), opt = -
> Progress 3.7126%, elapsed 318.1 s, iters = (3008, 0), opt = -
> Progress 3.7126%, elapsed 318.1 s, iters = (3009, 0), opt = -
> Progress 3.7126%, elapsed 318.4 s, iters = (3010, 0), opt = -
> Progress 3.7126%, elapsed 318.4 s, iters = (3011, 0), opt = -
> Progress 3.7126%, elapsed 318.4 s, iters = (3012, 0), opt = -
> Progress 3.7126%, elapsed 318.4 s, iters = (3013, 0), opt = -
> Progress 3.7126%, elapsed 318.4 s, iters = (3014, 0), opt = -
> Progress 3.7126%, elapsed 318.7 s, iters = (3015, 0), opt = -
> Progress 3.7126%, elapsed 319.0 s, iters = (3016, 0), opt = -
> Progress 3.7126%, elapsed 319.4 s, iters = (3017, 0), opt = -
> Progress 3.7126%, elapsed 319.4 s, iters = (3018, 0), opt = -
> Progress 3.7126%, elapsed 319.8 s, iters = (3019, 0), opt = -
> Progress 3.7126%, elapsed 319.8 s, iters = (3020, 0), opt = -
> Progress 3.7126%, elapsed 319.8 s, iters = (3021, 0), opt = -
> Progress 3.7126%, elapsed 319.8 s, iters = (3022, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3023, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3024, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3025, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3026, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3027, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3028, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3029, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3030, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3031, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3032, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3033, 0), opt = -
> Progress 3.7127%, elapsed 319.8 s, iters = (3034, 0), opt = -
> Progress 3.7127%, elapsed 320.1 s, iters = (3035, 0), opt = -
> Progress 3.7127%, elapsed 320.4 s, iters = (3036, 0), opt = -
> Progress 3.7127%, elapsed 320.4 s, iters = (3037, 0), opt = -
> Progress 3.7127%, elapsed 320.8 s, iters = (3038, 0), opt = -
> Progress 3.7127%, elapsed 320.8 s, iters = (3039, 0), opt = -
> Progress 3.7127%, elapsed 320.8 s, iters = (3040, 0), opt = -
> Progress 3.7127%, elapsed 320.8 s, iters = (3041, 0), opt = -
> Progress 3.7127%, elapsed 320.8 s, iters = (3042, 0), opt = -
> Progress 3.7155%, elapsed 321.0 s, iters = (3198, 0), opt = -
> Progress 3.7186%, elapsed 348.1 s, iters = (3388, 0), opt = -
> Progress 3.7186%, elapsed 348.1 s, iters = (3389, 0), opt = -
> Progress 3.7186%, elapsed 373.6 s, iters = (3390, 0), opt = -
> Progress 3.7186%, elapsed 373.6 s, iters = (3391, 0), opt = -
> Progress 3.7187%, elapsed 373.6 s, iters = (3392, 0), opt = -
> Progress 3.7187%, elapsed 373.7 s, iters = (3393, 0), opt = -
> Progress 3.7187%, elapsed 386.6 s, iters = (3394, 0), opt = -
> Progress 3.7187%, elapsed 386.6 s, iters = (3395, 0), opt = -
> Progress 3.7187%, elapsed 386.6 s, iters = (3396, 0), opt = -
> Progress 3.7187%, elapsed 386.8 s, iters = (3397, 0), opt = -
> Progress 3.7187%, elapsed 386.8 s, iters = (3398, 0), opt = -
> Progress 3.7187%, elapsed 386.8 s, iters = (3399, 0), opt = -
> Progress 3.7187%, elapsed 386.8 s, iters = (3400, 0), opt = -
> Progress 3.7187%, elapsed 386.8 s, iters = (3401, 0), opt = -
> Progress 3.7187%, elapsed 387.0 s, iters = (3402, 0), opt = -
> Progress 3.7187%, elapsed 387.1 s, iters = (3403, 0), opt = -
> Progress 3.7187%, elapsed 387.3 s, iters = (3404, 0), opt = -
> Progress 3.7187%, elapsed 387.3 s, iters = (3405, 0), opt = -
> Progress 3.7187%, elapsed 387.5 s, iters = (3406, 0), opt = -
> Progress 3.7187%, elapsed 387.5 s, iters = (3407, 0), opt = -
> Progress 3.7187%, elapsed 387.5 s, iters = (3408, 0), opt = -
> Progress 3.7187%, elapsed 387.5 s, iters = (3409, 0), opt = -
> Progress 3.8086%, elapsed 439.7 s, iters = (3535, 0), opt = -
> Progress 3.8087%, elapsed 439.7 s, iters = (3536, 0), opt = -
> Progress 3.8087%, elapsed 490.3 s, iters = (3537, 0), opt = -
> Progress 3.8087%, elapsed 490.3 s, iters = (3538, 0), opt = -
> Progress 3.8087%, elapsed 490.3 s, iters = (3539, 0), opt = -
> Progress 3.8087%, elapsed 490.5 s, iters = (3540, 0), opt = -
> Progress 3.8087%, elapsed 515.9 s, iters = (3541, 0), opt = -
> Progress 3.8087%, elapsed 515.9 s, iters = (3542, 0), opt = -
> Progress 3.8087%, elapsed 515.9 s, iters = (3543, 0), opt = -
> Progress 3.8087%, elapsed 516.1 s, iters = (3544, 0), opt = -
> Progress 3.8087%, elapsed 516.1 s, iters = (3545, 0), opt = -
> Progress 3.8087%, elapsed 516.1 s, iters = (3546, 0), opt = -
> Progress 3.8087%, elapsed 516.2 s, iters = (3547, 0), opt = -
> Progress 3.8087%, elapsed 516.3 s, iters = (3548, 0), opt = -
> Progress 3.8087%, elapsed 516.6 s, iters = (3549, 0), opt = -
> Progress 3.8088%, elapsed 516.6 s, iters = (3550, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3551, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3552, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3553, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3554, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3555, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3556, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3557, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3558, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3559, 0), opt = -
> Progress 3.8088%, elapsed 516.8 s, iters = (3560, 0), opt = -
> Progress 3.8088%, elapsed 517.0 s, iters = (3561, 0), opt = -
> Progress 3.8088%, elapsed 517.2 s, iters = (3562, 0), opt = -
> Progress 3.8089%, elapsed 517.2 s, iters = (3563, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3564, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3565, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3566, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3567, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3568, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3569, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3570, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3571, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3572, 0), opt = -
> Progress 3.8089%, elapsed 517.5 s, iters = (3573, 0), opt = -
> Progress 3.8093%, elapsed 517.5 s, iters = (3574, 0), opt = -
> Progress 3.8101%, elapsed 517.5 s, iters = (3575, 0), opt = -
> Progress 3.8101%, elapsed 517.6 s, iters = (3576, 0), opt = -
> Progress 3.8108%, elapsed 517.8 s, iters = (3577, 0), opt = -
> Progress 3.8109%, elapsed 567.9 s, iters = (3589, 0), opt = -
> Progress 3.811%, elapsed 567.9 s, iters = (3590, 0), opt = -
> Progress 3.811%, elapsed 617.7 s, iters = (3591, 0), opt = -
> Progress 3.811%, elapsed 617.7 s, iters = (3592, 0), opt = -
> Progress 3.811%, elapsed 617.7 s, iters = (3593, 0), opt = -
> Progress 3.811%, elapsed 617.9 s, iters = (3594, 0), opt = -
> Progress 3.811%, elapsed 643.1 s, iters = (3595, 0), opt = -
> Progress 3.811%, elapsed 643.1 s, iters = (3596, 0), opt = -
> Progress 3.811%, elapsed 643.1 s, iters = (3597, 0), opt = -
> Progress 3.811%, elapsed 643.2 s, iters = (3598, 0), opt = -
> Progress 3.811%, elapsed 643.2 s, iters = (3599, 0), opt = -
> Progress 3.811%, elapsed 643.2 s, iters = (3600, 0), opt = -
> Progress 3.811%, elapsed 643.4 s, iters = (3601, 0), opt = -
> Progress 3.811%, elapsed 643.5 s, iters = (3602, 0), opt = -
> Progress 3.811%, elapsed 643.7 s, iters = (3603, 0), opt = -
> Progress 3.811%, elapsed 643.7 s, iters = (3604, 0), opt = -
> Progress 3.811%, elapsed 644.0 s, iters = (3605, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3606, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3607, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3608, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3609, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3610, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3611, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3612, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3613, 0), opt = -
> Progress 3.8111%, elapsed 644.0 s, iters = (3614, 0), opt = -
> Progress 3.8111%, elapsed 644.1 s, iters = (3615, 0), opt = -
> Progress 3.8111%, elapsed 644.3 s, iters = (3616, 0), opt = -
> Progress 3.8111%, elapsed 644.3 s, iters = (3617, 0), opt = -
> Progress 3.8111%, elapsed 644.6 s, iters = (3618, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3619, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3620, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3621, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3622, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3623, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3624, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3625, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3626, 0), opt = -
> Progress 3.8112%, elapsed 644.6 s, iters = (3627, 0), opt = -
> Progress 3.8116%, elapsed 644.6 s, iters = (3628, 0), opt = -
> Progress 3.8116%, elapsed 644.7 s, iters = (3629, 0), opt = -
> Progress 3.8116%, elapsed 644.7 s, iters = (3630, 0), opt = -
> Progress 3.8118%, elapsed 645.0 s, iters = (3634, 0), opt = -
> Progress 3.8147%, elapsed 673.1 s, iters = (3710, 0), opt = -
> Progress 3.8148%, elapsed 673.1 s, iters = (3711, 0), opt = -
> Progress 3.8148%, elapsed 698.5 s, iters = (3712, 0), opt = -
> Progress 3.8148%, elapsed 698.5 s, iters = (3713, 0), opt = -
> Progress 3.8148%, elapsed 698.5 s, iters = (3714, 0), opt = -
> Progress 3.8148%, elapsed 698.6 s, iters = (3715, 0), opt = -
> Progress 3.8148%, elapsed 711.7 s, iters = (3716, 0), opt = -
> Progress 3.8148%, elapsed 711.7 s, iters = (3717, 0), opt = -
> Progress 3.8148%, elapsed 711.7 s, iters = (3718, 0), opt = -
> Progress 3.8148%, elapsed 711.8 s, iters = (3719, 0), opt = -
> Progress 3.8148%, elapsed 711.8 s, iters = (3720, 0), opt = -
> Progress 3.8148%, elapsed 711.8 s, iters = (3721, 0), opt = -
> Progress 3.8148%, elapsed 711.8 s, iters = (3722, 0), opt = -
> Progress 3.8148%, elapsed 711.9 s, iters = (3723, 0), opt = -
> Progress 3.8148%, elapsed 712.0 s, iters = (3724, 0), opt = -
> Progress 3.8149%, elapsed 712.0 s, iters = (3725, 0), opt = -
> Progress 3.8149%, elapsed 712.2 s, iters = (3726, 0), opt = -
> Progress 3.8149%, elapsed 712.2 s, iters = (3727, 0), opt = -
> Progress 3.8149%, elapsed 712.2 s, iters = (3728, 0), opt = -
> Progress 3.8149%, elapsed 712.2 s, iters = (3729, 0), opt = -
> Progress 3.8149%, elapsed 712.2 s, iters = (3730, 0), opt = -
> Progress 3.8149%, elapsed 712.2 s, iters = (3731, 0), opt = -
> Progress 3.817%, elapsed 738.2 s, iters = (3764, 0), opt = -
> Progress 3.8171%, elapsed 738.2 s, iters = (3765, 0), opt = -
> Progress 3.8171%, elapsed 763.1 s, iters = (3766, 0), opt = -
> Progress 3.8171%, elapsed 763.1 s, iters = (3767, 0), opt = -
> Progress 3.8171%, elapsed 763.1 s, iters = (3768, 0), opt = -
> Progress 3.8171%, elapsed 763.1 s, iters = (3769, 0), opt = -
> Progress 3.8171%, elapsed 775.8 s, iters = (3770, 0), opt = -
> Progress 3.8171%, elapsed 775.8 s, iters = (3771, 0), opt = -
> Progress 3.8171%, elapsed 775.8 s, iters = (3772, 0), opt = -
> Progress 3.8171%, elapsed 775.9 s, iters = (3773, 0), opt = -
> Progress 3.8171%, elapsed 775.9 s, iters = (3774, 0), opt = -
> Progress 3.8171%, elapsed 775.9 s, iters = (3775, 0), opt = -
> Progress 3.8171%, elapsed 775.9 s, iters = (3776, 0), opt = -
> Progress 3.8171%, elapsed 776.0 s, iters = (3777, 0), opt = -
> Progress 3.8171%, elapsed 776.1 s, iters = (3778, 0), opt = -
> Progress 3.8172%, elapsed 776.1 s, iters = (3779, 0), opt = -
> Progress 3.8172%, elapsed 776.3 s, iters = (3780, 0), opt = -
> Progress 3.8172%, elapsed 776.3 s, iters = (3781, 0), opt = -
> Progress 3.8172%, elapsed 776.3 s, iters = (3782, 0), opt = -
> Progress 3.8172%, elapsed 776.3 s, iters = (3783, 0), opt = -
> Progress 3.8172%, elapsed 776.3 s, iters = (3784, 0), opt = -
> Progress 3.8589%, elapsed 777.3 s, iters = (3885, 0), opt = -
> Progress 4.883%, elapsed 780.1 s, iters = (4421, 0), opt = -
> Progress 5.0295%, elapsed 783.0 s, iters = (4485, 0), opt = -
> Progress 5.0784%, elapsed 786.1 s, iters = (4558, 0), opt = -
> Progress 5.2307%, elapsed 789.1 s, iters = (4646, 0), opt = -
> Progress 5.2735%, elapsed 839.9 s, iters = (4671, 0), opt = -
> Progress 5.2735%, elapsed 839.9 s, iters = (4672, 0), opt = -
> Progress 5.2735%, elapsed 890.8 s, iters = (4673, 0), opt = -
> Progress 5.2735%, elapsed 890.8 s, iters = (4674, 0), opt = -
> Progress 5.2735%, elapsed 890.8 s, iters = (4675, 0), opt = -
> Progress 5.2735%, elapsed 890.9 s, iters = (4676, 0), opt = -
> Progress 5.2735%, elapsed 916.5 s, iters = (4677, 0), opt = -
> Progress 5.2735%, elapsed 916.5 s, iters = (4678, 0), opt = -
> Progress 5.2736%, elapsed 916.5 s, iters = (4679, 0), opt = -
> Progress 5.2736%, elapsed 916.6 s, iters = (4680, 0), opt = -
> Progress 5.2736%, elapsed 916.6 s, iters = (4681, 0), opt = -
> Progress 5.2736%, elapsed 916.6 s, iters = (4682, 0), opt = -
> Progress 5.2736%, elapsed 916.6 s, iters = (4683, 0), opt = -
> Progress 5.2736%, elapsed 916.6 s, iters = (4684, 0), opt = -
> Progress 5.2736%, elapsed 916.7 s, iters = (4685, 0), opt = -
> Progress 5.2736%, elapsed 916.9 s, iters = (4686, 0), opt = -
> Progress 5.2736%, elapsed 917.1 s, iters = (4687, 0), opt = -
> Progress 5.2736%, elapsed 917.1 s, iters = (4688, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4689, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4690, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4691, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4692, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4693, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4694, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4695, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4696, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4697, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4698, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4699, 0), opt = -
> Progress 5.2736%, elapsed 917.4 s, iters = (4700, 0), opt = -
> Progress 5.2737%, elapsed 917.4 s, iters = (4701, 0), opt = -
> Progress 5.2737%, elapsed 917.4 s, iters = (4702, 0), opt = -
> Progress 5.2737%, elapsed 917.4 s, iters = (4703, 0), opt = -
> Progress 5.2737%, elapsed 917.4 s, iters = (4704, 0), opt = -
> Progress 5.2737%, elapsed 917.5 s, iters = (4705, 0), opt = -
> Progress 5.2737%, elapsed 917.8 s, iters = (4706, 0), opt = -
> Progress 5.2737%, elapsed 917.8 s, iters = (4707, 0), opt = -
> Progress 5.2737%, elapsed 918.0 s, iters = (4708, 0), opt = -
> Progress 5.2737%, elapsed 918.0 s, iters = (4709, 0), opt = -
> Progress 5.2737%, elapsed 918.0 s, iters = (4710, 0), opt = -
> Progress 5.2737%, elapsed 918.0 s, iters = (4711, 0), opt = -
> Progress 5.2737%, elapsed 918.0 s, iters = (4712, 0), opt = -
> Progress 5.2737%, elapsed 918.0 s, iters = (4713, 0), opt = -
> Progress 5.42%, elapsed 969.0 s, iters = (4753, 0), opt = -
> Progress 5.42%, elapsed 969.0 s, iters = (4754, 0), opt = -
> Progress 5.42%, elapsed 1020.3 s, iters = (4755, 0), opt = -
> Progress 5.42%, elapsed 1020.3 s, iters = (4756, 0), opt = -
> Progress 5.42%, elapsed 1020.3 s, iters = (4757, 0), opt = -
> Progress 5.42%, elapsed 1020.4 s, iters = (4758, 0), opt = -
> Progress 5.42%, elapsed 1046.4 s, iters = (4759, 0), opt = -
> Progress 5.42%, elapsed 1046.4 s, iters = (4760, 0), opt = -
> Progress 5.42%, elapsed 1046.4 s, iters = (4761, 0), opt = -
> Progress 5.42%, elapsed 1046.5 s, iters = (4762, 0), opt = -
> Progress 5.4201%, elapsed 1046.5 s, iters = (4763, 0), opt = -
> Progress 5.4201%, elapsed 1046.5 s, iters = (4764, 0), opt = -
> Progress 5.4201%, elapsed 1046.5 s, iters = (4765, 0), opt = -
> Progress 5.4201%, elapsed 1046.5 s, iters = (4766, 0), opt = -
> Progress 5.4201%, elapsed 1046.6 s, iters = (4767, 0), opt = -
> Progress 5.4201%, elapsed 1046.8 s, iters = (4768, 0), opt = -
> Progress 5.4201%, elapsed 1047.0 s, iters = (4769, 0), opt = -
> Progress 5.4201%, elapsed 1047.0 s, iters = (4770, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4771, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4772, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4773, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4774, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4775, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4776, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4777, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4778, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4779, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4780, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4781, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4782, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4783, 0), opt = -
> Progress 5.4201%, elapsed 1047.2 s, iters = (4784, 0), opt = -
> Progress 5.4202%, elapsed 1047.2 s, iters = (4785, 0), opt = -
> Progress 5.4202%, elapsed 1047.2 s, iters = (4786, 0), opt = -
> Progress 5.4202%, elapsed 1047.4 s, iters = (4787, 0), opt = -
> Progress 5.4202%, elapsed 1047.6 s, iters = (4788, 0), opt = -
> Progress 5.4202%, elapsed 1047.6 s, iters = (4789, 0), opt = -
> Progress 5.4202%, elapsed 1047.9 s, iters = (4790, 0), opt = -
> Progress 5.4202%, elapsed 1047.9 s, iters = (4791, 0), opt = -
